Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1339278.3","Bacteroides fragilis str. DS-166",,1339278,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339278","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. DS-166","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","DS-166",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206109","SAMN02314419","GCA_000598245.1","SRR949844","JGDD00000000","IGS","WGS","Illumina","140x","MaSuRCA v. 2.0",,,124,5167326,43.4,15,113088,77,13,,4517,99.7,99.6,,100,,"stool",,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.155Z","2015-03-16T03:17:09.594Z"
"1339279.3","Bacteroides fragilis str. 20793-3",,1339279,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339279","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 20793-3","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","20793-3",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206110","SAMN02314420","GCA_000598905.1","SRR949845","JGEF00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,148,5282071,43,9,197071,87,18,,4635,99.3,99.2,,99,,"stool",,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:22.726Z","2015-03-16T03:17:09.594Z"
"1339280.3","Bacteroides fragilis str. 2-F-2# 4",,1339280,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339280","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 2-F-2 #4","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","2-F-2 #4",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206111","SAMN02314421","GCA_000598825.1","SRR949846","JGDM00000000","IGS","WGS","Illumina","130x","MaSuRCA v. 2.0",,,213,5576588,43.4,17,103460,83,23,,4952,99.8,99.6,,100,,"tissue",,"2011",2011,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:22.684Z","2015-03-16T03:17:09.594Z"
"1339281.3","Bacteroides fragilis str. 2-F-2# 5",,1339281,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339281","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 2-F-2 #5","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","2-F-2 #5",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206112","SAMN02314526","GCA_000598285.1","SRR949909","JGCN00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,250,5774310,43.5,26,72386,76,26,,5116,99.3,96.5,3,98.3,,"tissue",,"2011",2011,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:22.705Z","2015-03-16T03:17:09.594Z"
"1339282.3","Bacteroides fragilis str. 2-F-2# 7",,1339282,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339282","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 2-F-2 #7","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","2-F-2 #7",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206113","SAMN02314427","GCA_000598145.1","SRR949848","JGCO00000000","IGS","WGS","Illumina","140x","MaSuRCA v. 2.0",,,363,5655706,43.5,27,56909,81,26,,5010,99.6,98.8,0.3,100,,"tissue",,"2011",2011,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:22.716Z","2015-03-16T03:17:09.594Z"
"1339283.3","Bacteroides fragilis str. 3996 N(B) 6",,1339283,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339283","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 3996 N(B) 6","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","3996 N(B) 6",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206114","SAMN02314532","GCA_000598225.1","SRR949918","JGDA00000000","IGS","WGS","Illumina","140x","MaSuRCA v. 2.0",,,298,5653655,43.4,26,71055,75,14,,5107,99.7,98.7,3.4,98.6,,"tissue",,"2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.105Z","2015-03-16T03:17:09.594Z"
"1339285.3","Bacteroides fragilis str. 3998B T(B) 4",,1339285,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339285","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 3998 T(B) 4","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","3998 T(B) 4",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206116","SAMN02314534","GCA_000598385.1","SRR949920","JGDC00000000","IGS","WGS","Illumina","140x","MaSuRCA v. 2.0",,,424,5510199,44.1,46,35715,87,20,,4887,99.6,99.4,,100,,"tissue",,"2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.117Z","2015-03-16T03:17:09.594Z"
"1339286.3","Bacteroides fragilis str. 3725 D9 ii",,1339286,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339286","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 3725 D9 ii","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","3725 D9 ii",,,,,,,,,,,,,,,,,,,,"Good","2014-06-09T00:00:00Z","-",,"PRJNA206117","SAMN02370949","GCA_000699685.1","SRR1006212,SRR1006213","JNHH00000000","IGS","WGS","Illumina","73.64x","MaSuRCA v. 2.0",,,91,7280041,42.1,9,252957,83,21,,6084,99.1,98.8,3.2,95.2,,"tissue",,"2010",2010,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.;genome length too large","2014-12-08T22:39:14.912Z","2015-03-16T03:17:09.594Z"
"1339287.3","Bacteroides fragilis str. 3986 T(B)9",,1339287,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339287","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 3986 T(B)9","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","3986 T(B)9",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206118","SAMN02314535","GCA_000598465.1","SRR949921","JGCX00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,211,5430750,43.3,23,74330,88,17,,4715,97.8,94.5,6.2,98.9,,"tissue",,"2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.024Z","2015-03-16T03:17:09.594Z"
"1339288.3","Bacteroides fragilis str. 3988 T1",,1339288,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339288","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 3988 T1","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","3988 T1",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206119","SAMN02314428","GCA_000598205.1","SRR949849","JGCZ00000000","IGS","WGS","Illumina","200x","MaSuRCA v. 2.0",,,462,5349243,43.5,32,57260,70,24,,4738,99.6,99,0.3,100,,"tissue",,"2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.057Z","2015-03-16T03:17:09.594Z"
"1339289.3","Bacteroides fragilis str. 3986 N(B) 19",,1339289,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339289","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 3986 N(B)19","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","3986 N(B)19",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206120","SAMN02317048","GCA_000598445.1","SRR949906","JGCW00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,792,5311676,44.1,67,24926,87,20,,4592,99.3,97.6,2.4,99.3,,"tissue",,"2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:22.971Z","2015-03-16T03:17:09.594Z"
"1339290.3","Bacteroides fragilis str. S13 L11",,1339290,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339290","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. S13 L11","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","S13 L11",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206121","SAMN02314429","GCA_000599105.1","SRR949860","JGDI00000000","IGS","WGS","Illumina","200x","MaSuRCA v. 2.0",,,790,4868335,43.3,67,21919,74,27,,4115,97.3,96,1.1,97.9,,"tissue",,"2011",2011,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.241Z","2015-03-16T03:17:09.594Z"
"1339291.3","Bacteroides fragilis str. S23 R14",,1339291,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339291","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. S23 R14","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","S23 R14",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206122","SAMN02314430","GCA_000598665.1","SRR949887","JGDX00000000","IGS","WGS","Illumina","200x","MaSuRCA v. 2.0",,,263,5261742,43.1,18,85652,99,10,,4685,98.7,97.6,1,98.3,,"tissue",,"2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.251Z","2015-03-16T03:17:09.594Z"
"1339292.3","Bacteroides fragilis str. 1007-1-F #7",,1339292,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339292","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. 1007-1-F #7","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","1007-1-F #7",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206135","SAMN02314431","GCA_000599145.1","SRR949888","JGDL00000000","IGS","WGS","Illumina","200x","MaSuRCA v. 2.0",,,131,5560321,43.2,12,167179,96,20,,5002,99.8,99.3,,100,,"stool",,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:22.603Z","2015-03-16T03:17:09.594Z"
